doc_id,source,category,title,text,date
2605.02436v1,arxiv,financial,Deepening the Secondary Market: Integrating Trade Credit into Market Clearing with the Cycles Protocol,"Deepening the Secondary Market: Integrating Trade Credit into Market Clearing with the Cycles Protocol

Current post-trade clearing systems rely almost exclusively on cash or cash-like collateral, leaving vast reserves of short-term liquidity embedded in trade credit outside formal settlement infrastructures. A key barrier to integrating this liquidity is the near-universal dependence of clearing services on novation, which imposes institutional overhead that restricts accessibility and limits the range of obligations that can be brought into settlement.
  This paper introduces the Cycles Protocol: a distributed, multilateral clearing mechanism based on double-entry accounting and atomic cycle execution that maximizes balance sheet compression. Unlike novation-based clearing, Cycles does not redistribute counterparty risk; it can thus be applied generally to existing financial networks, without any change in counterparty relations, allowing it to complement existing clearing systems and Central Counterparties (CCPs).
  By representing commitments as edges on a unified directed graph, Cycles surfaces liquidity hiding within existing network structure. We focus here on two applications of Cycles to deepening secondary market liquidity: first, as a compression layer between existing clearing participants and CCPs; and second, as a means to incorporate the liquidity of the trade credit network into formal settlement, extending market clearing beyond financial obligations and into real-economy financing.",2026-05-04T10:34:50Z
2605.13477v1,arxiv,scientific,Space-Charge Effects in Silicon Reconfigurable Nonlinear-Processing Units,"Space-Charge Effects in Silicon Reconfigurable Nonlinear-Processing Units

Reconfigurable nonlinear-processing units (RNPUs) are multi-terminal electronic devices that act as computational primitives, exploiting intrinsic nonlinear charge transport combined with electrostatic tunability. Silicon-based realizations provide a scalable and technologically relevant platform, yet the physical origin of their room-temperature nonlinearity has remained insufficiently understood. Here, we investigate charge transport using temperature- and length-dependent current-voltage measurements on physical devices, complemented by drift-diffusion simulations, and show that transport is governed by space charge. Interface trap states strongly suppress the equilibrium carrier density, while the functional nonlinearity arises from the voltage-dependent competition between injected mobile carriers and fixed ionized background dopants. The resulting non-equilibrium transport exhibits a transition from an Ohmic regime to a strongly nonlinear regime, and ultimately to a velocity-saturation space-charge-limited current regime, as evidenced by the observed voltage and length scaling. We further show that background doping of opposite polarity to the injected carriers controls the onset and strength of the nonlinearity, leading to behavior exceeding the quadratic dependence of the classical Mott-Gurney law. Agreement between experiment and simulation supports that the spatial distribution of injected carriers and fixed charge governs the internal electric-field profile and device response. These results establish a physical framework for silicon-based RNPUs without requiring disorder or hopping transport, and provide design guidelines for reproducible, scalable, and CMOS-compatible implementations of nonlinear computing hardware.",2026-05-13T13:02:51Z
2605.13619v1,arxiv,scientific,DeepFilters: Scattering-Aware Pupil Engineering with Learned Digital Filter Reconstruction for Extended Depth of Field Microscopy,"DeepFilters: Scattering-Aware Pupil Engineering with Learned Digital Filter Reconstruction for Extended Depth of Field Microscopy

Extended depth of field microscopy encodes axial information into a single acquisition through engineered point spread functions, but conventional and deep optics approaches are subject to degradation in scattering tissue. We introduce DeepFilters, a scattering-aware deep optics framework that jointly optimizes a parameterized pupil filter and a digital-filter-based reconstruction network through a calibrated differentiable forward model to achieve broad generalization without retraining. Incorporating empirical scattering kernels, physics-guided regularization, and a hybrid genetic-gradient initialization strategy, DeepFilters extends the PSF from 16 micron to >400 micron in clear media and enables signal recovery beyond 120 micron deep in biological tissues, validated across fixed brain slices and sea urchin embryos.",2026-05-13T14:49:33Z
2605.13254v1,arxiv,scientific,In-situ tunable superconducting diode: towards field-free operation with infinite nonreciprocity,"In-situ tunable superconducting diode: towards field-free operation with infinite nonreciprocity

Efficient, scalable, and magnetic-field-free superconducting diodes are essential for future superconducting electronics; yet, despite significant efforts, such practical devices remain unrealized. The main challenge lies in achieving broad-range in-situ tunability, both for optimization and for achieving transistor-like operation. Here, we study diodes based on four-terminal niobium planar Josephson junctions. We show that the multiterminal structure eliminates the need for an external magnetic field and enables essentially unrestricted in-situ tunability, along with reconfigurability of the diode polarity, leading to new functionality. For example, we demonstrate that such diodes can operate as Gauss neurons via reentrant superconductivity. By deliberately tuning the junction parameters, we obtain effectively infinite nonreciprocity (within experimental resolution) leading to threshold-free ac-current rectification. Such technologically simple, reconfigurable, and broadly tunable diodes could be instrumental for future digital and neuromorphic computing.",2026-05-13T09:37:52Z
pubmed_42125648,pubmed,medical,Real-world experience with efgartigimod in generalized myasthenia gravis: a single-center retrospective study in China.,"Real-world experience with efgartigimod in generalized myasthenia gravis: a single-center retrospective study in China.

This study aimed to evaluate the real-world efficacy, safety, and application patterns of efgartigimod in Chinese patients with generalized myasthenia gravis (gMG), with a focus on individualized treatment strategies.",2026
pubmed_40387109,pubmed,medical,A Qualitative Study of Patients' Experiences With Collaborative Care for Co-occurring Opioid Use and Mental Health Disorders in Primary Care.,"A Qualitative Study of Patients' Experiences With Collaborative Care for Co-occurring Opioid Use and Mental Health Disorders in Primary Care.

Individuals with co-occurring opioid use disorder (OUD) and mental health disorders experience complex treatment trajectories. The collaborative care model (CoCM) is an effective approach for improving behavioral health outcomes in primary care, but has not been tested for patients with co-occurring disorders. We sought to understand patients' experiences receiving CoCM for co-occurring OUD and depression and/or PTSD.",
pubmed_42125136,pubmed,medical,Artificial recombinant high-density protein nanocarriers for precision drug delivery.,"Artificial recombinant high-density protein nanocarriers for precision drug delivery.

High-density lipoprotein (HDL) is a naturally occurring nanoparticle characterized by excellent biocompatibility and intrinsic receptor-mediated targeting capabilities. Consequently, recombinant high-density lipoprotein (rHDL) has emerged as a highly promising platform for precision drug delivery. This review focuses on the latest advancements in rHDL design, highlighting how key parameters-such as the stoichiometry of lipids to proteins, the engineering of apolipoproteins or mimetic peptides, and interfacial functionalization-govern the nanoparticle's structure, payload integration, and biological performance. We specifically demonstrate how these design principles enable the precise and tunable control of particle size, stability, and targeting efficiency across diverse therapeutic applications, including oncology, atherosclerosis, and neurodegenerative diseases. Compared to conventional nanocarriers, rHDL exhibits distinct advantages by virtue of its biomimetic properties and receptor-specific delivery pathways. In summary, these collective advancements establish rHDL as a ""chemically programmable"" nanoplatform, underscoring its immense potential to drive the development of targeted and multifunctional therapeutics.",2026
wiki_1973–1974_stock_market_crash,wikipedia,financial,1973–1974 stock market crash,"The 1973–1974 stock market crash caused a bear market between January 1973 and December 1974. Affecting all the major stock markets in the world, particularly the United Kingdom, it was one of the worst stock market downturns since the Great Depression, the other being the 2008 financial crisis. The crash came after the collapse of the Bretton Woods system over the previous two years, with the associated 'Nixon Shock' and United States dollar devaluation under the Smithsonian Agreement.  It was compounded by the outbreak of the 1973 oil crisis. It was a major event of the 1970s recession.
All the main stock indices of the future G7 bottomed out between September and December 1974, having lost at least 34% of their value in nominal terms and 43% in real terms. The recovery was a slow process. West Germany's market was the fastest to recover, returning to the same level by June 1985. The United Kingdom returned to the same market level by May 1987, but this full recovery lasted for only a few months and ended with the Black Monday crash of 1987. The United States returned to the same market level by August 1993, over twenty years after the 1973–74 crash began.


== History ==
In the 694 days between 11 January 1973 and 6 December 1974, the New York Stock Exchange's Dow Jones Industrial Average benchmark suffered the seventh-worst bear market in its history, losing over 45% of its value. The year 1972 had been a good year for the DJIA, with gains of 15% in the twelve months, and 1973 had been expected to be even better, with Time magazine reporting just 3 days before the crash began that it was 'shaping up as a gilt-edged year'. In the two years from 1972 to 1974, the American economy slowed from 7.2% real GDP growth to −2.1% contraction, while inflation (by CPI) jumped from 3.4% in 1972 to 12.3% in 1974. The Dow reached its lowest level, 577.60 points, on December 6, 1974.
The effect was worse in the United Kingdom, particularly on the London Stock Exchange's FT 30, which lost 73% of its value during the crash. From a rate of 5.1% real GDP growth in 1972, the UK went into recession in 1974, with GDP falling by 1.1%. At the time, the UK's property market was going through a major crisis, and a secondary banking crisis forced the Bank of England to bail out a number of lenders. In the United Kingdom, the crash ended after the rent freeze was lifted on 19 December 1974, allowing a readjustment of property prices; over the following year, stock prices rose by 15",
2605.13555v1,arxiv,scientific,Generating synthetic computed tomography for radiotherapy: SynthRAD2025 challenge report,"Generating synthetic computed tomography for radiotherapy: SynthRAD2025 challenge report

Radiation therapy (RT) requires precise dose delivery over multiple fractions, with CT fundamental for treatment planning due to its electron density information. Repeated CT acquisitions impose radiation exposure and logistical burdens, MRI lacks electron density, and cone-beam CT (CBCT) requires correction for dose calculation. Synthetic CT (sCT) generation addresses these by converting MRI or CBCT into CT-equivalent images with accurate Hounsfield Unit (HU) values, enabling MRI-only RT and CBCT-based adaptive workflows. Building on SynthRAD2023, SynthRAD2025 benchmarked sCT methods on 2,362 patients from five European centers across head and neck, thorax, and abdomen. Two tasks: MRI-to-CT (890 cases) and CBCT-to-CT (1,472 cases), evaluated via image similarity (MAE, PSNR, MS-SSIM), segmentation (Dice, HD95), and dosimetric metrics from photon and proton plans. With 803 participants and 12/13 valid submissions, Task 1 top performance reached MAE $64.8\pm21.3$ HU, PSNR $\sim$30 dB, MS-SSIM $\sim$0.936, Dice 0.79, photon $γ_{2\%/2\text{mm}}>98\%$, proton $γ\approx85\%$. Task 2 improved: MAE $48.3\pm13.4$ HU, PSNR 32.6 dB, MS-SSIM 0.968, Dice 0.86, photon $γ>99\%$, proton $γ\approx89\%$. Strong image--segmentation correlations ($ρ=0.78$--$0.79$) but moderate dose correlations confirmed image quality is insufficient as a dosimetric surrogate. Head-and-neck cases were most consistent; thoracic and abdominal cases showed greater variability. Residual errors at tissue interfaces propagate along beam paths, affecting proton dose more than photon. SynthRAD2025 demonstrates that deep learning yields clinically relevant sCTs, especially for CBCT-to-CT, while identifying persistent MRI-to-CT challenges and underscoring dose-based evaluation as essential for clinical validation.",2026-05-13T13:59:03Z
pubmed_42081165,pubmed,medical,Diabetes and cancer: glucose control impact on survival and tumor outcomes.,"Diabetes and cancer: glucose control impact on survival and tumor outcomes.

Diabetes mellitus (DM) and cancer are major global health challenges that increasingly coexist due to shared risk factors including aging, obesity, sedentary behavior, and chronic low-grade inflammation. Beyond being a common comorbidity, DM-particularly type 2 diabetes-has emerged as an important modifier of cancer risk, progression, treatment tolerance, and survival. Epidemiological studies consistently associate DM with a higher incidence of several malignancies, including pancreatic, liver, colorectal, breast, and endometrial cancers, as well as increased cancer-specific and overall mortality. The biological link between dysglycemia and cancer is complex and multifactorial. Chronic hyperglycemia, hyperinsulinemia, and insulin resistance promote tumor development and progression through altered cellular metabolism (Warburg effect), activation of insulin and insulin-like growth factor pathways, systemic inflammation, oxidative stress, immune dysfunction, and changes in the tumor microenvironment and gut microbiota. This review summarizes current evidence on the interplay between dysglycemia and cancer and explores how integrating continuous glucose monitoring (CGM)-based strategies into multidisciplinary oncology care may improve both metabolic and oncologic outcomes. A comprehensive search of online databases, including PubMed, ISI Web of Science, and Scopus, was conducted to identify studies assessing the impact of glycemic disturbances and glycemic control on cancer outcomes. Poor glycemic control and increased glucose variability are associated with worse oncologic outcomes, higher rates of treatment-related complications, reduced adherence to therapy, and diminished efficacy of chemotherapy, targeted agents, and immune checkpoint inhibitors. Severe hypoglycemia has also emerged as an independent predictor of poor prognosis. Although HbA1c has long been the cornerstone of glycemic assessment, it incompletely captures the dynamic glucose fluctuations commonly observed during cancer therapy. CGM provides a more comprehensive and clinically meaningful assessment of glycemic control, with the potential to reduce hypoglycemia, improve glycemic stability, and enhance tolerance and adherence to anticancer treatments. Current evidence indicates that diabetes and dysglycemia are key modifiers of cancer risk, progression, treatment tolerance, and survival. Optimizing glycemic control may therefore contribute to improved cancer outcomes. CGM represents a promising tool for personalizing diabetes management in oncology settings.",2026
2605.10310v1,arxiv,scientific,Positive Alignment: Artificial Intelligence for Human Flourishing,"Positive Alignment: Artificial Intelligence for Human Flourishing

Existing alignment research is dominated by concerns about safety and preventing harm: safeguards, controllability, and compliance. This paradigm of alignment parallels early psychology's focus on mental illness: necessary but incomplete. What we call Positive Alignment is the development of AI systems that (i) actively support human and ecological flourishing in a pluralistic, polycentric, context-sensitive, and user-authored way while (ii) remaining safe and cooperative. It is a distinct and necessary agenda within AI alignment research. We argue that several existing failures of alignment (e.g., engagement hacking, loss of human autonomy, failures in truth-seeking, low epistemic humility, error correction, lack of diverse viewpoints, and being primarily reactive rather than proactive) may be better addressed through positive alignment, including cultivating virtues and maximizing human flourishing. We highlight a range of challenges, open questions, and technical directions (e.g., data filtering and upsampling, pre- and post-training, evaluations, collaborative value collection) for different phases of the LLM and agents lifecycle. We end with design principles for promoting disagreement and decentralization through contextual grounding, community customization, continual adaptation, and polycentric governance; that is, many legitimate centers of oversight rather than one institutional or moral chokepoint.",2026-05-11T10:11:08Z
pubmed_42047974,pubmed,medical,"HIV Mortality Surveillance in Nigeria, A Systematic Review of Trends, Determinants, and Implications For Public Health Policy.","HIV Mortality Surveillance in Nigeria, A Systematic Review of Trends, Determinants, and Implications For Public Health Policy.

Despite substantial progress in expanding antiretroviral therapy (ART) coverage and scaling up prevention interventions, Human Immunodeficiency Virus (HIV) related mortality remains a significant public health challenge in several high-burden settings, including Nigeria. Persistent data system fragmentation, late diagnosis, and socio-structural inequities have slowed progress toward epidemic control. This systematic review synthesizes evidence on the epidemiological trends, determinants, and surveillance performance of HIV mortality in Nigeria, highlighting implications for public health policy and Sustainable Development Goal (SDG) 3.3. A systematic review was conducted following the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) 2020 framework. Peer-reviewed studies, national surveillance reports, and institutional documents published between 2010 and 2024 were retrieved from PubMed, Scopus, Web of Science, African Journals Online (AJOL), and World Health Organization (WHO) databases. Thematic synthesis was guided by the Public Health Surveillance Theory (PHST), Health Systems Resilience Framework (HSRF), and Socio-Ecological Model of Mortality (SEMM). Data were analyzed across four domains: mortality trends, determinants, surveillance performance, and global comparators. Eighty-two studies met inclusion criteria. HIV-related deaths in Nigeria declined from approximately 220,000 in 2010 to 52,000 in 2023, though progress has plateaued since 2018. Key mortality drivers include late ART initiation, Tuberculosis (TB) and Non-communicable disease (NCD) co-infection, and structural factors such as stigma, poverty, and gender inequity. Institutional challenges including ART stock-outs, poor Electronic Medical Records (EMR-Civil Registration and Vital Statistics (CRVS) linkage, and weak mortality audit systems undermine timely surveillance. Nigeria's CRVS captures < 30% of deaths, with < 10% accurately certified, compared to > 95% capture in countries with integrated digital systems such as South Africa and Brazil. Reducing HIV mortality in Nigeria requires transforming mortality surveillance into an active public health intervention. Integrating electronic medical records with civil registration, expanding verbal autopsy coverage, institutionalizing mortality audits, and addressing structural inequities will strengthen health system resilience and accelerate progress toward HIV epidemic control and SDG targets by 2030.",2026
pubmed_42110959,pubmed,medical,Integrated Cardio-oncology Service.,"Integrated Cardio-oncology Service.

Cancer and cardiovascular disease increasingly intersect in clinical practice. An integrated cardio-oncology service is a coordinated, multidisciplinary programme that embeds cardiovascular risk assessment, on-treatment surveillance and post-treatment follow-up within routine cancer care, supported by shared protocols and decision-making. The aim of such services is to maintain the delivery of best-practice cancer therapy while preventing and treating cardiovascular toxicity. This review distils pragmatic, transferable elements for cardiac and oncology teams: a unified programme with risk-based streaming; nurse-enabled triage and surveillance; pharmacist-led drug-drug interaction stewardship and medication optimisation; fast-track imaging and cardiology access; and clear triggers for escalation that minimise unnecessary cancer therapy interruption. The goal for this review is to provide a pragmatic blueprint for such services, illustrated by international models and our Newcastle bench-to-bedside experience.",2026
pubmed_42044049,pubmed,medical,Understanding online sentiment toward waterpipe tobacco smoking by applying deep-learning language models to Twitter posts (2021-2023) in the United States.,"Understanding online sentiment toward waterpipe tobacco smoking by applying deep-learning language models to Twitter posts (2021-2023) in the United States.

Waterpipe tobacco smoking remains a popular social activity among young adults in the United States. This study aims to understand sentiment toward waterpipe on social media in the United States by analyzing Twitter/X data.",2026
pubmed_40775643,pubmed,medical,Establishing a core outcome set for creatine transporter deficiency and guanidinoacetate methyltransferase deficiency.,"Establishing a core outcome set for creatine transporter deficiency and guanidinoacetate methyltransferase deficiency.

Creatine transporter (CTD) and guanidinoacetate methyltransferase (GAMT) deficiencies are rare inborn errors of creatine metabolism, resulting in cerebral creatine deficiency. Patients with either condition commonly exhibit intellectual and developmental disabilities, often accompanied by behavior problems, delayed speech, seizures, and motor impairments. There is currently no efficacious treatment for CTD, while current management for GAMT requires lifelong treatment with a protein restricted diet and intake of high amounts of oral supplements. Efforts to conduct clinical trials on potential treatments for these disorders are made more difficult by the lack of clinical and patient-derived meaningful outcomes. A core outcome set (COS) can facilitate consistent use of outcomes in studies. The current effort included patient and caregiver perspectives into the outcome selection of a COS for CTD and GAMT.",2025
